Wall time,Step,Value
1627511439.4942997,49980,1440.0
1627511487.0629792,50080,1440.0
1627511614.4257145,50360,1440.0
1627511752.093135,50660,1440.0
1627511889.4785907,50960,1440.0
1627511944.5271978,51080,1440.0
1627513150.2706232,53720,1440.0
1627513652.554857,54820,1440.0
1627513780.5046062,55100,1440.0
1627514096.5745282,55800,1440.0
1627515067.7468023,57940,1440.0
1627515715.4649124,59360,1440.0
1627516118.2634156,60240,1440.0
1627516362.9009373,60780,1440.0
1627516390.5682962,60840,1440.0
1627516914.209396,62000,1440.0
1627517481.405674,63240,1440.0
1627517803.0014026,63940,1440.0
1627518112.1833725,64620,1440.0
1627518240.0366461,64900,1440.0
1627518258.8589194,64940,1440.0
1627518268.0280824,64960,1440.0
1627518797.5485215,66120,1440.0
1627519158.0594342,66920,1440.0
1627519443.172699,67540,1440.0
1627519736.13311,68180,1440.0
1627519937.2697957,68620,1440.0
1627520111.324828,69000,1440.0
1627520249.1149344,69300,1440.0
1627520393.8642256,69620,1440.0
1627521492.4122434,72020,1440.0
1627521657.0586016,72380,1440.0
1627521675.4223444,72420,1440.0
1627522001.2577205,73140,1440.0
1627522129.0512893,73420,1440.0
1627522639.17862,74540,1440.0
1627522675.3642535,74620,1440.0
1627522776.1195004,74840,1440.0
1627523250.8951414,75880,1440.0
1627523440.663284,76300,1440.0
1627523486.5209546,76400,1440.0
1627523504.713836,76440,1440.0
1627523596.6071706,76640,1440.0
1627523898.5615592,77300,1440.0
1627524479.5936315,78580,1440.0
1627524736.8929272,79140,1440.0
1627524992.0853043,79700,1440.0
1627525341.7672064,80460,1440.0
1627525441.8140564,80680,1440.0
1627525469.252779,80740,1440.0
1627525984.149812,81880,1440.0
1627526029.3443894,81980,1440.0
1627526129.0347645,82200,1440.0
1627526795.9242225,83660,1440.0
1627526905.4273858,83900,1440.0
1627526924.0467036,83940,1440.0
1627526977.1892474,84060,1440.0
1627527203.1211042,84560,1440.0
1627527249.6778893,84660,1440.0
1627527276.7697642,84720,1440.0
1627527533.8190644,85280,1440.0
1627527560.8468366,85340,1440.0
1627527904.196261,86100,1440.0
1627528021.5696354,86360,1440.0
1627528040.133981,86400,1440.0
1627528774.4618518,88020,1440.0
1627529077.0243003,88680,1440.0
1627529616.2343314,89860,1440.0
1627529773.5890782,90200,1440.0
1627529965.527402,90620,1440.0
1627530428.5298057,91640,1440.0
1627530855.8251367,92580,1440.0
1627531183.2533236,93300,1440.0
1627531219.8244038,93380,1440.0
1627531293.306775,93540,1440.0
1627531629.1592803,94280,1440.0
1627531967.3442788,95020,1440.0
1627532038.425042,95180,1440.0
1627532308.664157,95780,1440.0
1627532419.1040626,96020,1440.0
1627532437.3722138,96060,1440.0
1627532781.96772,96820,1440.0
1627532890.8622735,97060,1440.0
1627533273.4030013,97900,1440.0
1627533897.714278,99260,1440.0
1627533979.315843,99440,1440.0
1627534006.2543983,99500,1440.0
1627534702.7114067,101020,1440.0
1627534720.2720115,101060,1440.0
1627535211.623821,102140,1440.0
1627535465.7189138,102700,1440.0
1627536067.6328843,104020,1440.0
1627536423.3585532,104800,1440.0
1627537239.5418015,106600,1440.0
1627537385.5363047,106920,1440.0
1627537511.0561018,107200,1440.0
1627538069.5856497,108420,1440.0
1627538268.3369381,108860,1440.0
1627538934.1577368,110320,1440.0
1627538951.9243238,110360,1440.0
1627539243.917304,111000,1440.0
1627539591.796018,111760,1440.0
1627540253.6883018,113220,1440.0
1627540290.8655298,113300,1440.0
1627540427.5134754,113600,1440.0
1627540801.4569166,114420,1440.0
1627540828.9884715,114480,1440.0
1627541308.1292877,115540,1440.0
1627541601.116264,116180,1440.0
1627541752.8369393,116520,1440.0
1627541780.4160254,116580,1440.0
1627542088.3785336,117260,1440.0
1627542106.615748,117300,1440.0
1627542171.4481251,117440,1440.0
1627542499.7932494,118160,1440.0
1627542690.4024875,118580,1440.0
1627542909.4503038,119060,1440.0
1627542955.2261894,119160,1440.0
1627543011.0313394,119280,1440.0
1627543257.956433,119820,1440.0
1627543444.2788634,120220,1440.0
1627543490.29663,120320,1440.0
1627544062.5608292,121580,1440.0
1627544453.6805542,122440,1440.0
1627544544.3311834,122640,1440.0
1627544998.431047,123640,1440.0
1627545171.9209352,124020,1440.0
1627545288.7712958,124280,1440.0
1627545343.5243058,124400,1440.0
1627545462.1096902,124660,1440.0
1627545981.0331473,125800,1440.0
1627546190.692723,126260,1440.0
1627546235.3126295,126360,1440.0
1627546454.6339538,126840,1440.0
1627546655.0172892,127280,1440.0
1627546770.5193753,127540,1440.0
1627546989.168551,128020,1440.0
1627547862.7307482,129940,1440.0
1627547901.001746,130020,1440.0
1627548084.2356133,130420,1440.0
1627548575.9010854,131500,1440.0
1627548666.9461043,131700,1440.0
1627548840.7089255,132080,1440.0
1627549330.948912,133160,1440.0
1627549411.4772859,133340,1440.0
1627549546.8725116,133640,1440.0
1627549683.626414,133940,1440.0
1627549710.81855,134000,1440.0
1627549818.117662,134240,1440.0
1627550064.221235,134780,1440.0
1627550100.7586155,134860,1440.0
1627550201.2748485,135080,1440.0
1627551043.8401108,136940,1440.0
1627551115.2161183,137100,1440.0
1627551252.3660662,137400,1440.0
1627551843.4649272,138700,1440.0
1627552132.1290565,139340,1440.0
1627552369.0969863,139860,1440.0
1627552569.6024346,140300,1440.0
1627553406.5687253,142140,1440.0
1627553479.173727,142300,1440.0
1627553851.345124,143120,1440.0
1627554402.3530388,144340,1440.0
1627554683.8221447,144960,1440.0
1627555168.379622,146020,1440.0
1627555269.5264115,146240,1440.0
1627555433.1025462,146600,1440.0
1627555523.8162262,146800,1440.0
1627555532.9443083,146820,1440.0
1627555706.08585,147200,1440.0
1627555915.8398042,147660,1440.0
1627556087.9033337,148040,1440.0
1627556442.9100275,148820,1440.0
1627556470.6255376,148880,1440.0
1627556534.0244718,149020,1440.0
1627556625.2319381,149220,1440.0
1627556652.061842,149280,1440.0
1627556786.6421537,149580,1440.0
1627557087.3544755,150240,1440.0
1627557261.3649902,150620,1440.0
1627557980.771586,152200,1440.0
1627558298.366585,152900,1440.0
1627558450.8082364,153240,1440.0
1627558586.732289,153540,1440.0
1627558686.6683698,153760,1440.0
1627558742.4148612,153880,1440.0
1627559226.494199,154940,1440.0
1627559355.8360474,155220,1440.0
1627559539.371954,155620,1440.0
1627559613.0040667,155780,1440.0
1627559703.1857514,155980,1440.0
1627560020.1170566,156680,1440.0
1627560631.9419098,158020,1440.0
1627560918.5191703,158660,1440.0
1627561452.6516507,159840,1440.0
1627561773.5696,160540,1440.0
1627561872.3443382,160760,1440.0
1627561981.4243836,161000,1440.0
1627562137.2504764,161340,1440.0
1627563173.9073439,163620,1440.0
1627563210.7073684,163700,1440.0
1627563493.075695,164320,1440.0
1627563546.93562,164440,1440.0
1627564073.5631063,165600,1440.0
1627564173.1862218,165820,1440.0
1627564510.5910525,166560,1440.0
1627564555.7013686,166660,1440.0
1627564574.279149,166700,1440.0
1627564628.43571,166820,1440.0
1627564838.914514,167280,1440.0
1627564883.3804688,167380,1440.0
1627564963.3989868,167560,1440.0
1627565779.9797673,169360,1440.0
1627565806.6320155,169420,1440.0
1627566059.360302,169980,1440.0
1627566152.9954798,170180,1440.0
1627566682.7526226,171340,1440.0
1627566920.1340244,171860,1440.0
1627567003.285945,172040,1440.0
1627567306.3814561,172700,1440.0
1627567315.2099717,172720,1440.0
1627567397.6016402,172900,1440.0
1627567814.142418,173820,1440.0
1627567860.2316163,173920,1440.0
1627568823.6123018,176040,1440.0
1627568987.2807875,176400,1440.0
1627569014.5072224,176460,1440.0
1627569206.4205642,176880,1440.0
1627569525.7098882,177580,1440.0
1627569588.6284578,177720,1440.0
1627569743.5588782,178060,1440.0
1627569761.2104635,178100,1440.0
1627569787.7206504,178160,1440.0
1627569978.0320768,178580,1440.0
1627570041.4820368,178720,1440.0
1627570252.1064746,179180,1440.0
1627570407.9975655,179520,1440.0
1627570571.719796,179880,1440.0
1627570630.357989,180000,1440.0
1627570721.5387406,180200,1440.0
1627571142.0865943,181120,1440.0
1627571215.2537668,181280,1440.0
1627571407.7918959,181700,1440.0
1627572056.0204973,183120,1440.0
1627572698.395748,184540,1440.0
1627572759.8075542,184680,1440.0
1627573005.753365,185220,1440.0
1627573434.96755,186160,1440.0
1627573516.8472471,186340,1440.0
1627573809.465863,186980,1440.0
1627574001.0365634,187400,1440.0
1627574392.9651053,188260,1440.0
1627574419.5421505,188320,1440.0
1627574600.6455958,188720,1440.0
1627574665.2068546,188860,1440.0
1627574903.6489558,189380,1440.0
1627575546.9420667,190780,1440.0
1627575628.815049,190960,1440.0
1627575693.6493716,191100,1440.0
1627575812.7703314,191360,1440.0
1627576010.5472434,191800,1440.0
1627576356.57647,192560,1440.0
1627576573.8897953,193040,1440.0
1627576628.8645177,193160,1440.0
1627576838.2231355,193620,1440.0
1627577001.91618,193980,1440.0
1627577641.4219131,195380,1440.0
1627578041.2517169,196260,1440.0
1627578296.5447588,196820,1440.0
1627578324.122474,196880,1440.0
1627578687.2833707,197680,1440.0
1627578906.9313958,198160,1440.0
1627579496.6266809,199460,1440.0
1627580215.1688795,201020,1440.0
1627580260.8382275,201120,1440.0
1627580288.3856113,201180,1440.0
1627580525.824674,201700,1440.0
1627580734.1929739,202160,1440.0
1627580927.0639644,202580,1440.0
1627581072.673771,202900,1440.0
1627581291.3060136,203380,1440.0
1627581448.7262483,203720,1440.0
1627582100.09407,205140,1440.0
1627582282.5684059,205540,1440.0
1627582346.5522912,205680,1440.0
1627583375.3700233,207940,1440.0
1627583402.9162388,208000,1440.0
1627583596.8080218,208420,1440.0
1627583641.0727968,208520,1440.0
1627584131.1461196,209600,1440.0
1627584222.931191,209800,1440.0
1627584259.4150467,209880,1440.0
1627584523.954698,210460,1440.0
1627584816.3121774,211100,1440.0
1627584825.575795,211120,1440.0
1627585215.9064589,211980,1440.0
1627585296.9975488,212160,1440.0
1627585450.073425,212500,1440.0
1627585495.2390218,212600,1440.0
